,Car Name,Car Price(MSRP)
0,2015 Audi A4 Komfort plus S-line Quattro Sedan - P...,"$19,995"
1,2017 Audi Q5 Progressiv Quattro SUV - Parking sens...,"$29,995"
2,2012 Audi S4 Prestige Quattro Sedan - Nav|Camera|P...,"$22,995"
3,2014 Audi S5 Technik Quattro Coupe - Nav|Camera|Pa...,"$29,995"
4,2014 Audi S6 Quattro Sedan - Nav|360 Camera|Blind-...,"$34,995"
5,2013 Audi S7 Sportback Quattro - Navigation|Camera...,"$34,995"
6,2018 BMW 3-Series 330i xDrive Sedan - Navigation|R...,"$32,995"
7,2015 BMW 3-Series 335i xDrive M Sport Sedan -Nav|C...,"$30,995"
8,2013 BMW 3-Series 328i xDrive Luxury line Sedan - ...,"$16,995"
9,2015 BMW 4-Series 435i xDrive Gran Coupe - Nav|Cam...,"$34,995"
10,2013 BMW 7-Series 750Li xDrive M Sport Sedan - Nav...,"$19,995"
11,2012 BMW X1 xDrive28i SUV - Navigation|Leather|Hea...,"$12,995"
12,2017 BMW X4 xDrive28i SUV - Nav|360 Camera|Blind-s...,"$34,995"
13,2018 Honda Accord EX-L Sedan - Camera|Lane assist|...,"$28,995"
14,2016 Jeep Compass High Altitude 4WD SUV - Camera|L...,"$19,995"
15,2008 Land Rover Range Rover HSE 4WD SUV - Nav|Came...,"$13,995"
16,2014 Land Rover Range Rover Evoque Dynamic 4WD HB ...,"$30,995"
17,2016 Mercedes-Benz C-Class C300 4Matic Sedan - Nav...,"$29,995"
18,2016 Mercedes-Benz CLS 400 4Matic - Nav|360 Camera...,"$35,995"
19,2014 Mercedes-Benz CLS-Class CLS 550 - Nav|Camera|...,"$29,995"
20,2017 Mercedes-Benz E-Class E400 4Matic Coupe - Nav...,"$36,995"
21,2013 Mercedes-Benz GLK-Class GLK250 BlueTEC 4Matic...,"$21,995"
22,2017 Mini Cooper Clubman S ALL4 Hatchback - Parkin...,"$20,995"
23,2013 Mini Cooper Paceman Coupe - Leather|Heated se...,"$12,995"
24,2016 Subaru WRX w-Sport-tech Pkg AWD Sedan-Nav|Cam...,"$27,995"
25,2016 Volkswagen Golf GTI Autobahn Hatchback - Nav|...,"$23,995"
26,2016 Volvo V60 T6 Drive-E Premier AWD Wagon -Nav|P...,"$28,995"
27,2016 Volvo XC60 T5 Special Edition Premier AWD SUV...,"$29,995"
28,2016 Volvo XC90 T6 Inscription AWD SUV - Nav|360 C...,"$38,995"
